# y, u-velocity, v-velocity, w-velocity, pressure, vis, vorticity, normal, ko2_tke, ko2_omega
0.000000000000000000e+00 3.999022301286458969e-04 1.756760901572111677e-14 0.000000000000000000e+00 -3.362287372965511167e-07 4.963102411686959314e-13 -2.246090126037597656e+01 9.037841664394363761e-06 1.029952513444899213e-25 1.087955156250000000e+05
2.064644591882824898e-03 4.637362435460090637e-02 4.535518214796550873e-14 0.000000000000000000e+00 -3.362291352004831424e-07 2.292659839753241613e-09 -2.226548385620117188e+01 2.098321449011564255e-03 3.900365300069097430e-06 5.486000976562500000e+03
4.263984039425849915e-03 9.491336345672607422e-02 1.541132401815942243e-13 0.000000000000000000e+00 -3.362290783570642816e-07 5.116914536529293400e-08 -2.202737808227539062e+01 4.299763590097427368e-03 3.069453669013455510e-05 1.102301513671875000e+03
6.606479175388813019e-03 1.464122086763381958e-01 3.066227556147022026e-13 0.000000000000000000e+00 -3.362289078268076992e-07 4.514296279012341984e-07 -2.187202644348144531e+01 6.644494365900754929e-03 1.295730762649327517e-04 4.028696594238281250e+02
9.101077914237976074e-03 2.006923556327819824e-01 4.854605216084162400e-13 0.000000000000000000e+00 -3.362289930919359904e-07 2.313136747034150176e-06 -2.145395469665527344e+01 9.141451679170131683e-03 3.797566751018166542e-04 2.000192260742187500e+02
1.175723597407341003e-02 2.568666636943817139e-01 6.772175593743046118e-13 0.000000000000000000e+00 -3.362289646702265600e-07 8.097145837382413447e-06 -2.050409507751464844e+01 1.180011127144098282e-02 8.665283676236867905e-04 1.201562576293945312e+02
1.458494178950786591e-02 3.130241036415100098e-01 8.682167398216256160e-13 0.000000000000000000e+00 -3.362291067787737120e-07 2.112438778567593545e-05 -1.884911727905273438e+01 1.463049650192260742e-02 1.621237955987453461e-03 8.217387390136718750e+01
1.759473420679569244e-02 3.667145073413848877e-01 1.046462070643239262e-12 0.000000000000000000e+00 -3.362290783570642816e-07 4.381189864943735301e-05 -1.662407112121582031e+01 1.764298789203166962e-02 2.570055425167083740e-03 6.117403411865234375e+01
2.079772949218750000e-02 4.160708487033843994e-01 1.203624114438917037e-12 0.000000000000000000e+00 -3.362291352004831424e-07 7.649580948054790497e-05 -1.422120761871337891e+01 2.084892056882381439e-02 3.570390399545431137e-03 4.797360992431640625e+01
2.420563437044620514e-02 4.604869782924652100e-01 1.335578566144524082e-12 0.000000000000000000e+00 -3.362291636221925728e-07 1.172833071905188262e-04 -1.201080417633056641e+01 2.426000684499740601e-02 4.501472692936658859e-03 3.885253524780273438e+01
2.783077768981456757e-02 5.003209114074707031e-01 1.440219254619790057e-12 0.000000000000000000e+00 -3.362292773090302944e-07 1.642307906877249479e-04 -1.014797210693359375e+01 2.788830175995826721e-02 5.308628547936677933e-03 3.214303207397460938e+01
3.168611973524093628e-02 5.362037420272827148e-01 1.518571943540103497e-12 0.000000000000000000e+00 -3.362293625741585856e-07 2.176900743506848812e-04 -8.613303184509277344e+00 3.174697980284690857e-02 5.984552670270204544e-03 2.699609184265136719e+01
3.578528016805648804e-02 5.686661601066589355e-01 1.572954223469369417e-12 0.000000000000000000e+00 -3.362293341524491552e-07 2.785057586152106524e-04 -7.345084667205810547e+00 3.584967553615570068e-02 6.539079360663890839e-03 2.293704414367675781e+01
4.014254361391067505e-02 5.981698632240295410e-01 1.607620720572855433e-12 0.000000000000000000e+00 -3.362293341524491552e-07 3.466925409156829119e-04 -6.296784400939941406e+00 4.021074622869491577e-02 6.987207103520631790e-03 1.967657089233398438e+01
4.477288201451301575e-02 6.251316070556640625e-01 1.626231484544438111e-12 0.000000000000000000e+00 -3.362294762609963072e-07 4.220976261422038078e-04 -5.431507587432861328e+00 4.484495520591735840e-02 7.345682941377162933e-03 1.702196884155273438e+01
4.969196766614913940e-02 6.499231457710266113e-01 1.632299655683622230e-12 0.000000000000000000e+00 -3.362293341524491552e-07 5.045221187174320221e-04 -4.715952873229980469e+00 4.976837709546089172e-02 7.630253210663795471e-03 1.483686447143554688e+01
5.491617694497108459e-02 6.728669404983520508e-01 1.628599924190232695e-12 0.000000000000000000e+00 -3.362293625741585856e-07 5.937608075328171253e-04 -4.121770858764648438e+00 5.499655753374099731e-02 7.854345254600048065e-03 1.302082633972167969e+01
6.046260148286819458e-02 6.942301988601684570e-01 1.617684176717648636e-12 0.000000000000000000e+00 -3.362296183695434593e-07 6.896118866279721260e-04 -3.625501155853271484e+00 6.054776534438133240e-02 8.028983138501644135e-03 1.149835491180419922e+01
6.634904444217681885e-02 7.142387032508850098e-01 1.601316735461155716e-12 0.000000000000000000e+00 -3.362295615261245985e-07 7.918820483610033989e-04 -3.208256721496582031e+00 6.643867492675781250e-02 8.162952028214931488e-03 1.021142005920410156e+01
7.259401679039001465e-02 7.330828905105590820e-01 1.581181583235058419e-12 0.000000000000000000e+00 -3.362295899478340289e-07 9.003875311464071274e-04 -2.855037212371826172e+00 7.268840074539184570e-02 8.263134397566318512e-03 9.115228652954101562e+00
7.921674102544784546e-02 7.509158253669738770e-01 1.558309037363869720e-12 0.000000000000000000e+00 -3.362295331044151681e-07 1.014933804981410503e-03 -2.553892850875854492e+00 7.931634783744812012e-02 8.335086517035961151e-03 8.174806594848632812e+00
8.623711764812469482e-02 7.678692936897277832e-01 1.533947014548120436e-12 0.000000000000000000e+00 -3.362295046827057377e-07 1.135348458774387836e-03 -2.295404911041259766e+00 8.634181320667266846e-02 8.382906205952167511e-03 7.362668991088867188e+00
9.367571771144866943e-02 7.840573191642761230e-01 1.508773249565831254e-12 0.000000000000000000e+00 -3.362298457432189025e-07 1.261440105736255646e-03 -2.072060346603393555e+00 9.378572553396224976e-02 8.409982547163963318e-03 6.656860828399658203e+00
1.015537306666374207e-01 7.995615005493164062e-01 1.483825649156722548e-12 0.000000000000000000e+00 -3.362297320563811809e-07 1.393017708323895931e-03 -1.877899050712585449e+00 1.016691997647285461e-01 8.418926969170570374e-03 6.039919853210449219e+00
1.098929643630981445e-01 8.144684433937072754e-01 1.459596874787971732e-12 0.000000000000000000e+00 -3.362297604780906113e-07 1.529872533865272999e-03 -1.708092689514160156e+00 1.100139468908309937e-01 8.411729708313941956e-03 5.497725009918212891e+00
1.187157481908798218e-01 8.288410305976867676e-01 1.437235855501761694e-12 0.000000000000000000e+00 -3.362297320563811809e-07 1.671791542321443558e-03 -1.558768987655639648e+00 1.188426092267036438e-01 8.389950729906558990e-03 5.018811225891113281e+00
1.280449032783508301e-01 8.427277207374572754e-01 1.417870703658563603e-12 0.000000000000000000e+00 -3.362298173215094721e-07 1.818535733036696911e-03 -1.426777839660644531e+00 1.281775385141372681e-01 8.354894816875457764e-03 4.593802928924560547e+00
1.379036754369735718e-01 8.561848402023315430e-01 1.404402744271948666e-12 0.000000000000000000e+00 -3.362298741649283329e-07 1.969814300537109375e-03 -1.309539198875427246e+00 1.380421221256256104e-01 8.307455107569694519e-03 4.214922428131103516e+00
