u1
z+ 	 L+ 	 L-
5 	 14493.090113131328 	 1244.6157392587832
60 	 12972.602290099549 	 34698.47032859405
151 	 14065.666812485868 	 36372.574124547486
302 	 17191.94940808299 	 27028.744170593043

u2
z+ 	 L+ 	 L-
5 	 33199.856048389214 	 4.128138586570338
60 	 34468.76228685377 	 4261.995901969792
151 	 33835.71481828361 	 12360.058702788996
302 	 29695.84202233488 	 20986.760849874874

u3
z+ 	 L+ 	 L-
5 	 15513.112398939762 	 253.65516955350677 
60 	 16770.629567599077 	 7474.340101098586 
151 	 17164.24115485989 	 13506.07240418345 
302 	 14859.245732698611 	 15883.820349249901 
